,ArticleId,Category
0,1018,sport
1,1319,tech
2,1138,sport
3,459,business
4,1020,sport
5,51,sport
6,2025,politics
7,1479,politics
8,27,entertainment
9,397,business
10,1644,business
11,263,tech
12,765,politics
13,2134,tech
14,297,entertainment
15,1712,sport
16,1631,politics
17,942,tech
18,1549,entertainment
19,516,politics
20,2215,business
21,531,politics
22,1541,sport
23,1340,business
24,56,politics
25,2138,sport
26,338,business
27,133,sport
28,215,sport
29,521,business
30,1777,politics
31,185,tech
32,2105,business
33,1556,business
34,659,sport
35,1837,sport
36,59,sport
37,383,business
38,1581,entertainment
39,2167,politics
40,1593,tech
41,1849,politics
42,1691,entertainment
43,2033,tech
44,2092,sport
45,849,tech
46,1780,entertainment
47,1747,business
48,1509,politics
49,1305,business
50,2055,politics
51,2139,business
52,57,business
53,1496,business
54,671,tech
55,1193,politics
56,2104,tech
57,872,entertainment
58,606,sport
59,1502,tech
60,244,sport
61,381,entertainment
62,1944,tech
63,725,politics
64,369,business
65,211,entertainment
66,1861,sport
67,1044,tech
68,976,sport
69,1673,sport
70,442,tech
71,144,sport
72,1954,business
73,48,politics
74,608,tech
75,2165,sport
76,913,tech
77,1580,tech
78,1061,tech
79,529,entertainment
80,2137,politics
81,1284,sport
82,2040,entertainment
83,349,entertainment
84,1385,business
85,1307,entertainment
86,807,business
87,333,entertainment
88,786,business
89,1775,tech
90,558,business
91,592,politics
92,2172,sport
93,1735,tech
94,1188,sport
95,511,sport
96,157,sport
97,646,sport
98,8,sport
99,821,sport
100,1001,politics
101,309,sport
102,1732,politics
103,1291,entertainment
104,2136,business
105,999,sport
106,1258,politics
107,721,sport
108,1922,politics
109,954,entertainment
110,847,sport
111,846,business
112,313,entertainment
113,1997,sport
114,322,politics
115,1221,sport
116,129,politics
117,981,sport
118,330,politics
119,1172,business
120,2123,entertainment
121,1165,business
122,1592,entertainment
123,2094,entertainment
124,841,tech
125,1224,sport
126,72,business
127,1176,entertainment
128,1285,business
129,1671,entertainment
130,67,business
131,952,politics
132,884,politics
133,2011,tech
134,1979,business
135,519,business
136,1132,politics
137,1782,tech
138,112,entertainment
139,1996,sport
140,683,business
141,1447,tech
142,472,sport
143,562,entertainment
144,1476,politics
145,1339,sport
146,1972,sport
147,875,entertainment
148,1067,entertainment
149,1442,tech
150,708,business
151,515,tech
152,118,politics
153,1513,entertainment
154,1227,sport
155,1196,sport
156,635,sport
157,1669,sport
158,1823,entertainment
159,483,tech
160,1477,business
161,509,tech
162,667,business
163,127,tech
164,1316,business
165,1983,tech
166,598,entertainment
167,1654,tech
168,1232,tech
169,703,politics
170,2051,business
171,451,politics
172,1924,business
173,852,business
174,1889,entertainment
175,1695,politics
176,417,tech
177,2125,business
178,2087,business
179,1274,tech
180,579,sport
181,398,politics
182,1898,sport
183,87,politics
184,2024,tech
185,1927,tech
186,1019,politics
187,1892,business
188,357,politics
189,1161,politics
190,52,politics
191,1798,business
192,2028,entertainment
193,58,sport
194,258,sport
195,638,tech
196,541,business
197,2190,tech
198,1936,politics
199,1293,business
200,2181,sport
201,1329,politics
202,146,business
203,89,entertainment
204,1627,business
205,1123,business
206,1233,sport
207,580,tech
208,591,business
209,1933,sport
210,911,entertainment
211,971,entertainment
212,1154,sport
213,1622,entertainment
214,539,sport
215,1131,tech
216,1839,politics
217,545,entertainment
218,1910,sport
219,799,entertainment
220,1016,sport
221,1460,entertainment
222,1286,politics
223,296,business
224,1345,tech
225,1568,entertainment
226,502,business
227,1530,politics
228,81,business
229,2162,tech
230,1519,business
231,1634,sport
232,1586,politics
233,469,politics
234,382,business
235,353,politics
236,1666,sport
237,1457,business
238,2182,business
239,1591,politics
240,1643,sport
241,1822,politics
242,742,business
243,1956,sport
244,1829,tech
245,1675,business
246,376,politics
247,1626,business
248,168,politics
249,321,business
250,715,business
251,1278,sport
252,653,tech
253,1206,politics
254,411,tech
255,931,tech
256,1576,entertainment
257,1207,tech
258,1729,sport
259,851,sport
260,994,tech
261,223,sport
262,763,sport
263,977,sport
264,1094,entertainment
265,582,sport
266,1845,politics
267,965,tech
268,1461,business
269,945,sport
270,746,business
271,1768,sport
272,1242,business
273,259,sport
274,866,entertainment
275,1288,business
276,915,business
277,337,entertainment
278,1842,politics
279,975,business
280,1890,sport
281,1694,sport
282,367,tech
283,1270,sport
284,1679,sport
285,717,entertainment
286,838,business
287,1857,sport
288,798,tech
289,1915,politics
290,1051,entertainment
291,99,business
292,810,business
293,1662,politics
294,1521,sport
295,1693,entertainment
296,347,politics
297,60,business
298,1958,sport
299,723,sport
300,402,tech
301,662,entertainment
302,3,sport
303,84,business
304,1551,tech
305,1684,business
306,806,sport
307,1721,politics
308,446,politics
309,326,entertainment
310,2211,politics
311,2037,entertainment
312,1158,politics
313,498,business
314,2122,politics
315,1905,tech
316,564,business
317,939,sport
318,1,tech
319,567,entertainment
320,1219,politics
321,1720,sport
322,1015,politics
323,1459,politics
324,633,tech
325,1384,politics
326,242,sport
327,1334,tech
328,1456,politics
329,1298,tech
330,1567,tech
331,205,entertainment
332,385,business
333,795,tech
334,1083,politics
335,1953,business
336,1987,politics
337,1748,sport
338,1869,tech
339,34,entertainment
340,604,entertainment
341,142,business
342,1832,sport
343,1865,tech
344,862,tech
345,1191,entertainment
346,22,tech
347,1883,business
348,737,sport
349,1262,entertainment
350,1601,tech
351,1404,business
352,1296,politics
353,2163,tech
354,1168,tech
355,438,politics
356,1888,politics
357,694,sport
358,1663,business
359,861,tech
360,704,sport
361,1010,politics
362,2039,politics
363,854,business
364,1562,tech
365,1422,sport
366,874,politics
367,1272,business
368,1405,politics
369,2049,politics
370,620,tech
371,2022,entertainment
372,925,business
373,1573,business
374,1187,sport
375,1471,sport
376,504,sport
377,576,tech
378,222,sport
379,95,politics
380,332,tech
381,1895,tech
382,2106,politics
383,1181,business
384,776,sport
385,9,sport
386,808,entertainment
387,1002,entertainment
388,784,sport
389,845,tech
390,1416,tech
391,1762,sport
392,525,tech
393,596,entertainment
394,1800,politics
395,1341,tech
396,113,sport
397,134,business
398,270,politics
399,1324,entertainment
400,12,business
401,782,tech
402,1357,sport
403,1608,politics
404,1134,business
405,276,business
406,41,politics
407,1705,tech
408,732,sport
409,968,politics
410,1006,business
411,1140,tech
412,966,business
413,1399,tech
414,586,sport
415,868,sport
416,1698,politics
417,452,business
418,600,tech
419,354,sport
420,1281,politics
421,914,business
422,1430,tech
423,554,tech
424,1659,politics
425,1727,tech
426,640,business
427,691,politics
428,1531,business
429,1389,entertainment
430,1545,business
431,462,entertainment
432,2101,politics
433,1907,entertainment
434,1373,sport
435,1787,business
436,2202,politics
437,961,business
438,680,sport
439,1059,entertainment
440,626,business
441,1961,entertainment
442,1048,entertainment
443,336,sport
444,719,tech
445,1563,entertainment
446,963,tech
447,179,business
448,1438,politics
449,1189,entertainment
450,2126,politics
451,895,politics
452,2005,sport
453,819,business
454,23,sport
455,457,politics
456,1423,entertainment
457,100,entertainment
458,1448,business
459,97,business
460,172,sport
461,1918,politics
462,938,tech
463,752,business
464,2222,politics
465,2038,business
466,24,sport
467,1325,sport
468,409,politics
469,624,sport
470,1367,tech
471,621,business
472,1302,politics
473,505,sport
474,2057,politics
475,265,tech
476,262,business
477,2176,politics
478,1304,tech
479,1539,politics
480,700,politics
481,2124,entertainment
482,2203,tech
483,781,sport
484,1558,sport
485,1419,politics
486,1311,business
487,124,tech
488,664,politics
489,282,sport
490,1700,sport
491,1107,entertainment
492,922,business
493,652,entertainment
494,713,entertainment
495,1068,business
496,1116,politics
497,869,sport
498,1703,politics
499,1668,tech
500,501,business
501,2053,business
502,908,politics
503,1306,sport
504,348,business
505,149,sport
506,1173,business
507,6,politics
508,1180,business
509,107,sport
510,1629,politics
511,131,tech
512,1046,sport
513,698,politics
514,751,business
515,1501,tech
516,73,politics
517,1463,sport
518,1856,politics
519,1074,entertainment
520,2225,sport
521,1313,politics
522,933,business
523,1136,business
524,779,business
525,1315,tech
526,1628,politics
527,432,politics
528,546,sport
529,1779,business
530,1514,tech
531,1365,tech
532,1776,tech
533,109,sport
534,235,tech
535,162,politics
536,2071,business
537,412,business
538,1092,sport
539,1352,business
540,294,politics
541,1973,business
542,493,tech
543,45,tech
544,2189,sport
545,1417,tech
546,2140,business
547,1265,sport
548,1353,business
549,830,business
550,448,business
551,535,politics
552,1656,politics
553,996,entertainment
554,1246,entertainment
555,161,entertainment
556,1267,politics
557,138,tech
558,1575,tech
559,1810,politics
560,2065,entertainment
561,768,business
562,1507,sport
563,1520,sport
564,71,politics
565,1484,entertainment
566,163,politics
567,1171,sport
568,769,business
569,77,business
570,1252,business
571,532,entertainment
572,1975,tech
573,178,sport
574,1237,business
575,1899,politics
576,676,politics
577,2008,tech
578,1807,politics
579,481,sport
580,17,politics
581,837,business
582,523,tech
583,2099,business
584,1957,sport
585,1470,sport
586,1151,tech
587,489,sport
588,823,entertainment
589,1743,tech
590,1035,politics
591,2103,tech
592,1230,sport
593,1636,business
594,103,business
595,927,tech
596,379,tech
597,1789,politics
598,278,entertainment
599,887,politics
600,1300,business
601,394,business
602,625,tech
603,1770,business
604,1959,business
605,1371,business
606,1359,sport
607,921,entertainment
608,404,business
609,422,sport
610,503,business
611,1773,sport
612,2174,tech
613,1086,business
614,1986,politics
615,2007,sport
616,13,business
617,796,sport
618,585,sport
619,1200,entertainment
620,642,politics
621,237,tech
622,1826,sport
623,43,business
624,1594,sport
625,594,business
626,1084,sport
627,1859,sport
628,524,politics
629,463,tech
630,1085,business
631,668,tech
632,2132,business
633,1970,sport
634,260,tech
635,141,business
636,468,entertainment
637,269,business
638,414,entertainment
639,2097,sport
640,1420,tech
641,1472,business
642,1757,business
643,243,business
644,1142,politics
645,1295,sport
646,1660,entertainment
647,1635,tech
648,2200,business
649,2146,sport
650,5,entertainment
651,1256,business
652,2090,entertainment
653,1816,business
654,1991,politics
655,1310,sport
656,1162,sport
657,499,business
658,285,tech
659,1216,sport
660,745,business
661,421,business
662,2068,business
663,1145,entertainment
664,681,business
665,556,entertainment
666,1063,tech
667,55,sport
668,910,politics
669,2066,tech
670,1025,politics
671,2154,tech
672,64,sport
673,2218,tech
674,2013,entertainment
675,1105,business
676,669,business
677,827,politics
678,1335,politics
679,1426,sport
680,2196,sport
681,368,sport
682,1535,entertainment
683,1672,tech
684,599,politics
685,2085,entertainment
686,1577,sport
687,724,sport
688,568,politics
689,2018,tech
690,1543,politics
691,308,entertainment
692,1356,sport
693,573,entertainment
694,1746,sport
695,1290,tech
696,272,tech
697,139,sport
698,2191,sport
699,1255,business
700,1699,tech
701,1616,entertainment
702,1619,business
703,1032,tech
704,287,business
705,2194,business
706,928,sport
707,584,entertainment
708,1722,politics
709,1685,entertainment
710,1828,business
711,692,politics
712,1393,business
713,540,politics
714,1317,sport
715,152,tech
716,650,tech
717,191,politics
718,1719,entertainment
719,1564,business
720,350,tech
721,116,entertainment
722,1000,entertainment
723,36,politics
724,1225,business
725,2155,business
726,553,politics
727,551,politics
728,1724,tech
729,1512,sport
730,1923,business
731,373,entertainment
732,1704,politics
733,206,business
734,471,politics
